Identificador,Producto,Marca,Precio,Cantidad
2831924,Libro,Pritt,20,409
7469015,Goma,Santillana,7,334
6069558,Lapiz,Fabber Castell,13,618
6508334,Lapiz,Staedtler,7,289
4107129,Regla,Norma,5,194
6227215,Plumon,Sharpie,3,194
5551888,Regla,Staedtler,7,367
8263176,Plumon,Norma,7,117
2721387,Libro,Faber Castell,3,211
7713834,Pegamento,Santillana,7,121
3409365,Sacapuntas,Milan,3,416
4282528,Goma,Santillana,3,449
7690253,Goma,Santillana,11,298
5685358,Cuaderno,Santillana,13,202
9027663,Goma,Maped,20,700
6127839,Libro,Maped,10,635
2663867,Lapiz,Pritt,15,626
2471707,Regla,Faber Castell,5,580
9800979,Sacapuntas,Bic,8,111
1176379,Libro,Sharpie,11,624
7781637,Goma,Bic,20,688
9597054,Goma,Fabber Castell,2,120
4239486,Cuaderno,Norma,10,430
1726263,Sacapuntas,Maped,3,754
9922928,Regla,Maped,10,773
1386950,Sacapuntas,Sharpie,5,377
2594700,Libro,Milan,13,510
8783053,Plumon,Pritt,2,724
4027599,Cuaderno,Faber Castell,13,117
7988910,Plumon,Sharpie,15,197
8519441,Cuaderno,Bic,2,130
5063087,Goma,Sharpie,13,293
2832508,Libro,Faber Castell,7,673
6225294,Tijeras,Bic,15,452
5088396,Regla,Santillana,11,352
7449747,Goma,Maped,3,256
4815443,Goma,Pritt,20,693
5239269,Plumon,Sharpie,15,532
8895829,Borrador,Milan,2,703
8308657,Goma,Faber Castell,7,577
1453066,Sacapuntas,Milan,5,783
1861616,Plumon,Sharpie,11,334
2086108,Lapiz,Pritt,7,669
3037299,Goma,Pritt,20,515
9463740,Regla,Santillana,2,759
9025340,Plumon,Pritt,10,583
1460945,Tijeras,Fabber Castell,13,548
8611182,Borrador,Fabber Castell,10,707
1538543,Lapiz,Faber Castell,10,789
6381573,Regla,Sharpie,10,372
4933759,Cuaderno,Bic,3,238
2626123,Pegamento,Bic,8,702
4353232,Tijeras,Staedtler,11,332
2251633,Pegamento,Pritt,2,698
8882104,Plumon,Sharpie,2,487
2414240,Libro,Maped,15,324
8833663,Regla,Sharpie,13,251
3372370,Plumon,Santillana,2,106
1089759,Tijeras,Norma,20,594
9350654,Goma,Milan,13,625
5792848,Libro,Maped,15,295
1226739,Pegamento,Maped,13,337
4147264,Tijeras,Santillana,11,441
3233520,Sacapuntas,Staedtler,3,764
4139954,Pegamento,Santillana,5,134
3250229,Tijeras,Faber Castell,7,544
1892606,Tijeras,Santillana,7,660
7079730,Tijeras,Staedtler,7,391
4705522,Goma,Norma,3,242
9425675,Borrador,Sharpie,10,643
6823808,Tijeras,Milan,13,396
3160735,Regla,Fabber Castell,5,150
3363157,Cuaderno,Sharpie,11,629
9056423,Pegamento,Fabber Castell,8,367
1571086,Plumon,Sharpie,3,570
3611541,Borrador,Staedtler,11,553
1077846,Cuaderno,Sharpie,20,727
8926846,Borrador,Maped,11,119
6035624,Plumon,Fabber Castell,10,561
5092453,Regla,Fabber Castell,11,217
1171242,Sacapuntas,Pritt,5,309
5846254,Pegamento,Fabber Castell,7,681
1584812,Borrador,Maped,7,571
4680309,Regla,Milan,11,549
4960437,Cuaderno,Maped,20,121
9167475,Libro,Pritt,8,414
4243766,Lapiz,Santillana,3,682
1263919,Lapiz,Bic,15,657
3634010,Lapiz,Milan,8,165
9718378,Tijeras,Maped,7,463
1962459,Regla,Maped,5,782
6889528,Libro,Bic,5,205
1626303,Lapiz,Norma,13,585
1703340,Regla,Santillana,5,115
4874346,Tijeras,Fabber Castell,13,512
7991076,Regla,Fabber Castell,2,519
5134859,Regla,Santillana,7,510
9910698,Regla,Milan,8,164
8597557,Pegamento,Milan,5,112
4556478,Tijeras,Pritt,7,158
2588462,Lapiz,Fabber Castell,15,728
4224282,Pegamento,Maped,11,722
8606806,Regla,Milan,2,320
